index,price,retail_price,currency_code
148423684X,,,
9.781E+12,5491.72,5491.72,INR
9.7818E+12,2411.91,2411.91,INR
9811358494,,,
9.781E+12,,,
9.7818E+12,26286.49,26286.49,INR
9.78179E+12,997.09,498.54,INR
161729554X,,,
9.78164E+12,2624.32,2624.32,INR
1544361378,,,
9.78112E+12,,,
9.78126E+12,8711.9,8711.9,INR
9.78179E+12,886.17,456.97,INR
9.78111E+12,,,
9.78149E+12,,,
9.78039E+12,4790.8,4790.8,INR
9.78303E+12,13452,13452,INR
3030367207,,,
9.78179E+12,3691.03,456.97,INR
9.78168E+12,4101.57,4101.57,INR
9.78179E+12,1108.01,554,INR
9.78135E+12,,,
9.78311E+12,13100.99,13100.99,INR
1484265122,,,
9.78032E+12,8988.06,8988.06,INR
149208218X,,,
9.78111E+12,,,
9.78981E+12,9978.75,9978.75,INR
1492045357,,,
9.7818E+12,1108.01,554,INR
9.78149E+12,2725.8,2725.8,INR
9.78939E+12,972.29,486.14,INR
9.78184E+12,775.25,387.62,INR
9.78149E+12,,,
9.78148E+12,,,
9.78162E+12,,,
9.78013E+12,12223.62,12223.62,INR
9.78148E+12,,,
9.78184E+12,,,
9.78179E+12,886.17,443.08,INR
9.78939E+12,972.29,486.14,INR
9.78164E+12,2826.1,2826.1,INR
9.78303E+12,11764.6,11764.6,INR
9.78179E+12,997.09,498.54,INR
9.78184E+12,886.17,443.08,INR
3319730037,,,
9.78303E+12,12626,12626,INR
9.7818E+12,31641.15,31641.15,INR
9.78981E+12,6726,6726,INR
9.78148E+12,,,
9.78981E+12,12626,12626,INR
9.78303E+12,8401.6,8401.6,INR
9.78112E+12,13112.16,13112.16,INR
9.78032E+12,,,
9.78013E+12,10785.2,10785.2,INR
9.78303E+12,7139,7139,INR
1617296171,,,
9.78939E+12,848.42,424.21,INR
9.78013E+12,12223.62,12223.62,INR
9.78168E+12,3020.8,3020.8,INR
9.78013E+12,11505,11505,INR
9.78303E+12,12626,12626,INR
9.78303E+12,12626,12626,INR
9.78148E+12,,,
9.78112E+12,21852.42,21852.42,INR
9.78149E+12,,,
9.7818E+12,26286.49,26286.49,INR
9.78167E+12,26286.49,26286.49,INR
9.78178E+12,997.09,498.54,INR
9.78112E+12,9712.58,9712.58,INR
9.78303E+12,11764.6,11764.6,INR
9.78164E+12,2960.62,2960.62,INR
9.78152E+12,19958.26,19958.26,INR
1617295329,,,
9.78332E+12,6726,6726,INR
9.78013E+12,12223.62,12223.62,INR
9.78013E+12,,,
9.78179E+12,886.17,443.08,INR
9.7818E+12,26286.49,26286.49,INR
9.78303E+12,12626,12626,INR
9.78013E+12,8988.06,8988.06,INR
521383013,,,
9.78149E+12,,,
3030326055,,,
9.78179E+12,997.09,498.54,INR
9.78303E+12,8401.6,8401.6,INR
9.78148E+12,,,
9.78148E+12,,,
9.78112E+12,,,
9.78145E+12,11764.6,11764.6,INR
1721230882,,,
1731175620,,,
9.78162E+12,,,
9.78172E+12,3117.79,3117.79,INR
9.78147E+12,1556.75,1556.75,INR
1617296481,,,
9.78184E+12,1329.85,664.92,INR
9.78959E+12,934,467,INR
9.78179E+12,886.17,443.08,INR
9.78172E+12,3902.61,3902.61,INR
9.7818E+12,26286.49,26286.49,INR
9.78148E+12,,,
103224285X,,,
9.78032E+12,12942.24,12942.24,INR
1729851231,,,
9.78128E+12,,,
1984050621,,,
9.78179E+12,997.09,498.54,INR
9.78112E+12,,,
9.781E+12,11770.5,11770.5,INR
9.78147E+12,,,
9.78303E+12,14278,14278,INR
9811682321,,,
3319992228,,,
9.78148E+12,,,
981166045X,,,
9.78981E+12,8413.45,8413.45,INR
1667170023,,,
1491989386,,,
9.78164E+12,2489.8,2489.8,INR
9.78172E+12,,,
9.78981E+12,4200.8,4200.8,INR
9.78179E+12,886.17,443.08,INR
148427914X,,,
9.78184E+12,886.17,661.99,INR
9.78303E+12,11764.6,11764.6,INR
9.78013E+12,12223.62,12223.62,INR
1788474228,,,
9.78184E+12,886.17,443.08,INR
149205559X,,,
9.78303E+12,15222,15222,INR
3031004604,,,
9.78168E+12,,,
9.78162E+12,,,
9.78026E+12,,,
9.78112E+12,,,
149196460X,,,
1484266153,,,
9.78172E+12,4679.17,4679.17,INR
9.7818E+12,997.09,498.54,INR
9.781E+12,6244.42,6244.42,INR
1484263723,,,
9.78112E+12,21852.42,21852.42,INR
9.78179E+12,997.09,510.13,INR
9.78026E+12,,,
9.78303E+12,6726,6726,INR
9.78303E+12,5888.2,5888.2,INR
9.78112E+12,21852.42,21852.42,INR
9.78981E+12,9239.4,9239.4,INR
9.781E+12,16497.33,16497.33,INR
9.78032E+12,6220.96,6220.96,INR
1684660823,,,
1484232062,,,
9.78332E+12,10926.8,10926.8,INR
9.781E+12,9303.12,9303.12,INR
3030497232,,,
9.781E+12,5491.72,5491.72,INR
9.78303E+12,6726,6726,INR
9.78148E+12,,,
9.79868E+12,,,
9.78303E+12,4200.8,4200.8,INR
9.78303E+12,9239.4,9239.4,INR
9.78053E+12,204.43,204.43,INR
1790764165,,,
9.78164E+12,2960.62,2960.62,INR
9.78179E+12,775.25,402.44,INR
9.78184E+12,4131.17,4131.17,INR
9.78112E+12,,,
1548585793,,,
1803241330,,,
9.78311E+12,15154.27,15154.27,INR
3030410706,,,
9811563241,,,
1505714346,,,
9.78827E+12,390.03,273.02,INR
1795409207,,,
1484237986,,,
9.78032E+12,,,
9.78303E+12,14278,14278,INR
387310738,,,
9.78184E+12,886.17,695.09,INR
9.781E+12,,,
9.78981E+12,16874,16874,INR
9.78112E+12,,,
3030909867,,,
9.78145E+12,,,
1493938436,,,
9.78145E+12,,,
9.7802E+12,,,
9.78179E+12,1108.01,554,INR
3031044193,,,
9.78162E+12,,,
9.78179E+12,1218.93,609.46,INR
9.78032E+12,,,
PKEY:6610000168569,314,219.8,INR
1489978526,,,
1800567642,,,
128021217,,,
1119857201,,,
9.78167E+12,160152.88,160152.88,INR
9.78303E+12,12626,12626,INR
9.78132E+12,,,
9.78149E+12,,,
9.78112E+12,,,
9.78149E+12,3764.2,3764.2,INR
1617293873,,,
9.7818E+12,1108.01,554,INR
9.78039E+12,6726,6726,INR
9.78149E+12,,,
9811518157,,,
9.78026E+12,9757.77,9757.77,INR
9.78303E+12,5888.2,5888.2,INR
9.78149E+12,4425,4425,INR
9.78148E+12,,,
9.78026E+12,,,
9.78149E+12,,,
1530826608,,,
9.78112E+12,2428.44,2428.44,INR
9.78981E+12,13452,13452,INR
9.7818E+12,19958.26,19958.26,INR
9.78939E+12,972.29,486.14,INR
9.78013E+12,2720.77,2720.77,INR
9.78939E+12,972.29,486.14,INR
9.7818E+12,1108.01,554,INR
9.78179E+12,997.09,631.79,INR
9.78981E+12,19352,19352,INR
9.78332E+12,8401.6,8401.6,INR
9.78939E+12,972.29,486.14,INR
9.781E+12,5940.12,5940.12,INR
9.78332E+12,4200.8,4200.8,INR
9.78179E+12,,,
9.78013E+12,14380.66,14380.66,INR
9.7811E+12,971.91,546.5,INR
9.78303E+12,5888.2,5888.2,INR
9.78112E+12,,,
9.78126E+12,,,
9.78304E+12,,,
9.78304E+12,,,
9.78032E+12,6367.28,6367.28,INR
9.78179E+12,775.25,534.99,INR
9.78162E+12,,,
9.78145E+12,2950,1672.65,INR
9.78149E+12,,,
9.78332E+12,4625.6,4625.6,INR
9.78939E+12,972.29,486.14,INR
9.78112E+12,,,
9.78168E+12,352.82,246.97,INR
9.78012E+12,5389.06,5389.06,INR
9.78164E+12,2624.32,2624.32,INR
1537600311,,,
9.78332E+12,2100.4,2100.4,INR
9.78179E+12,997.09,498.54,INR
9.78146E+12,7139,7139,INR
9.78026E+12,12197.42,12197.42,INR
9.78939E+12,972.29,486.14,INR
9.78145E+12,2360,2360,INR
9.7814E+12,1484.85,742.42,INR
1549617214,,,
9.78939E+12,489,342.3,INR
9.78024E+12,707.11,353.56,INR
1777005469,,,
9.78164E+12,2960.62,2960.62,INR
367381893,,,
9.78014E+12,,,
9.78112E+12,588.82,294.41,INR
9.78163E+12,9677.37,9677.37,INR
9811533563,,,
9.78006E+12,666.19,333.1,INR
9.78001E+12,607.36,359.1,INR
9533073691,,,
9.78135E+12,,,
9.78164E+12,1950.54,1950.54,INR
9.78026E+12,,,
3319798642,,,
9.78111E+12,,,
9.78026E+12,1556.41,1556.41,INR
9.78164E+12,2960.62,2960.62,INR
1848829469,,,
UCSC:32106017935773,,,
9.78112E+12,4856.88,4856.88,INR
364235288X,,,
9.78332E+12,8401.6,8401.6,INR
9.78184E+12,775.25,387.62,INR
9.78164E+12,2489.8,2489.8,INR
9.78303E+12,13452,13452,INR
PSU:000067772872,,,
9.78981E+12,7988.6,7988.6,INR
UCSD:31822010985026,,,
9.78126E+12,24345.93,24345.93,INR
9.78179E+12,1951.64,1951.64,INR
1003093450,,,
9.78303E+12,12626,12626,INR
9.78303E+12,6891.2,6891.2,INR
9.78112E+12,2715.18,2715.18,INR
1447171195,,,
9.78161E+12,,,
UVA:X004837333,,,
UVA:X004908347,,,
9.78153E+12,2888,2888,INR
9.78149E+12,,,
1138480452,,,
9.78013E+12,,,
9.78113E+12,5828.02,5828.02,INR
9.78126E+12,13199.6,13199.6,INR
9.78026E+12,,,
9.78159E+12,,,
9811308683,,,
9.78151E+12,,,
9.78107E+12,,,
9.78303E+12,6218.6,6218.6,INR
9.78161E+12,,,
1617291560,,,
9.78354E+12,,,
9.78023E+12,3124.43,3124.43,INR
3642263216,,,
1617294470,,,
3540440364,,,
9.78145E+12,2360,2360,INR
9.78149E+12,,,
9.78149E+12,,,
9.78112E+12,,,
9.78013E+12,5030.34,5030.34,INR
9.78149E+12,,,
9.78111E+12,,,
9.78112E+12,,,
9.78149E+12,,,
9.781E+12,,,
9.781E+12,5491.72,5491.72,INR
9.78164E+12,1950.54,1950.54,INR
9.78111E+12,,,
9.78149E+12,,,
9.78164E+12,2355.28,2355.28,INR
9.78112E+12,,,
9.78145E+12,2065,1170.86,INR
9.78332E+12,3787.8,3787.8,INR
9.78149E+12,,,
9.78112E+12,7667.64,7667.64,INR
9.78332E+12,5463.4,5463.4,INR
9.78149E+12,,,
9.78179E+12,886.17,443.08,INR
9.78145E+12,0,0,INR
9.78026E+12,,,
9.78112E+12,2358.82,2358.82,INR
9.78126E+12,3432.06,3432.06,INR
9.78112E+12,4856.88,4856.88,INR
9.78043E+12,,,
9.78112E+12,,,
9.78332E+12,5463.4,5463.4,INR
9.781E+12,,,
9.78184E+12,665.51,332.76,INR
9.78332E+12,0,0,INR
9082809176,,,
9.78164E+12,2355.28,2355.28,INR
9.78164E+12,2960.62,2960.62,INR
9.78179E+12,997.09,498.54,INR
149207294X,,,
9.78164E+12,2960.62,2960.62,INR
9.78303E+12,11764.6,11764.6,INR
9.78111E+12,,,
9.78013E+12,4310.54,4310.54,INR
9.78303E+12,12626,12626,INR
9.7818E+12,1108.01,554,INR
9.78112E+12,3783.08,3783.08,INR
9.78184E+12,,,
9.78112E+12,,,
9.78303E+12,4200.8,4200.8,INR
9.78135E+12,,,
9.78981E+12,4200.8,4200.8,INR
9.78112E+12,824.82,412.41,INR
9.78043E+12,5491.72,5491.72,INR
9.78981E+12,10089,10089,INR
9.781E+12,4819.12,4819.12,INR
9.78032E+12,10785.2,10785.2,INR
9.781E+12,8966.82,8966.82,INR
9.78149E+12,4425,4425,INR
9.78303E+12,11764.6,11764.6,INR
9.781E+12,5491.72,5491.72,INR
9.78303E+12,10926.8,10926.8,INR
9.78149E+12,,,
9.78145E+12,0,0,INR
9.78162E+12,,,
9.78043E+12,5491.72,5491.72,INR
9.781E+12,,,
9.78332E+12,5038.6,5038.6,INR
9.78149E+12,2879.2,2879.2,INR
9.78149E+12,,,
9.78148E+12,,,
9.78149E+12,3764.2,3764.2,INR
9.78149E+12,,,
9.78184E+12,775.25,387.62,INR
9.78026E+12,1556.41,1556.41,INR
9.78149E+12,1250.8,625.4,INR
9.78145E+12,2950,1672.65,INR
9.78939E+12,972.29,486.14,INR
9.7818E+12,45757.97,45757.97,INR
9.78145E+12,2360,2360,INR
9.78162E+12,,,
367428199,,,
1617291560,,,
9.7806E+12,,,
9.78154E+12,7372.05,7372.05,INR
9.78185E+12,400.02,280.01,INR
9.781E+12,,,
9.78111E+12,,,
9.78168E+12,,,
9.781E+12,4948.2,4948.2,INR
1484268695,,,
9.78111E+12,,,
1633430278,,,
9.78149E+12,,,
9.781E+12,6388.52,6388.52,INR
128112166,,,
9.78053E+12,204.43,204.43,INR
1727287320,,,
9.78112E+12,3885.74,3885.74,INR
9.78303E+12,4625.6,4625.6,INR
1484251032,,,
9.78111E+12,,,
1498740006,,,
9.78139E+12,526.64,263.32,INR
9.78145E+12,,,
9.78013E+12,4310.54,4310.54,INR
9.78112E+12,4074.54,4074.54,INR
9.78165E+12,80,80,INR
9.78939E+12,1060.82,530.41,INR
9.78184E+12,4131.17,4131.17,INR
3030433862,,,
9.78148E+12,,,
9.78179E+12,,,
9.78031E+12,,,
9.78939E+12,972.29,486.14,INR
9.78939E+12,1037.22,518.61,INR
9.78332E+12,11764.6,11764.6,INR
9.78149E+12,,,
9.78311E+12,5083.46,5083.46,INR
9.78146E+12,7139,7139,INR
9.78135E+12,,,
9.78112E+12,,,
9.78939E+12,972.29,486.14,INR
9.78031E+12,4007.94,4007.94,INR
9.7818E+12,9261.6,9261.6,INR
9.78013E+12,10785.2,10785.2,INR
9.79857E+12,,,
9.78303E+12,5888.2,5888.2,INR
9.78164E+12,2489.8,2489.8,INR
9.78149E+12,2513.4,2513.4,INR
3030883884,,,
9.78112E+12,3885.74,3885.74,INR
1789347998,,,
9.78332E+12,15222,15222,INR
9.78163E+12,6352.79,6352.79,INR
1718726694,,,
9.78149E+12,,,
9.781E+12,5940.12,5940.12,INR
9.78443E+12,7316,7316,INR
9.78149E+12,,,
9.78179E+12,1108.01,554,INR
9.78303E+12,14278,14278,INR
9.78111E+12,,,
9.78303E+12,5463.4,5463.4,INR
9.781E+12,5066.04,5066.04,INR
1119741742,,,
9.78303E+12,12626,12626,INR
9.78149E+12,,,
9386551934,,,
9.781E+12,5066.04,5066.04,INR
9.78082E+12,,,
9.78149E+12,4425,4425,INR
9.78014E+12,,,
9.78981E+12,18526,18526,INR
9.78013E+12,12223.62,12223.62,INR
9.78129E+12,,,
9.78303E+12,13452,13452,INR
9.78981E+12,15222,15222,INR
3662570416,,,
9.78112E+12,21852.42,21852.42,INR
9.78149E+12,,,
9.78159E+12,,,
9.78039E+12,,,
1484226135,,,
3030069753,,,
9.78827E+12,390.03,273.02,INR
9.78145E+12,,,
9.78112E+12,3885.74,3885.74,INR
9.78075E+12,,,
9.78039E+12,1270.24,635.12,INR
1032240245,,,
9.78161E+12,11635.2,11635.2,INR
9.78303E+12,8401.6,8401.6,INR
9.78162E+12,,,
996025545,,,
9.78303E+12,4200.8,4200.8,INR
9811922101,,,
9.78112E+12,3881.02,3881.02,INR
1709892129,,,
9.78154E+12,,,
1802939873,,,
9.78303E+12,12626,12626,INR
1484268245,,,
9.78146E+12,5463.4,5463.4,INR
9.78303E+12,10926.8,10926.8,INR
9.78112E+12,,,
3031174828,,,
9.78303E+12,5038.6,5038.6,INR
9.78939E+12,972.29,486.14,INR
9.78152E+12,24826.13,24826.13,INR
9.78043E+12,,,
1802350365,,,
9.78149E+12,,,
9.78303E+12,14278,14278,INR
9.78112E+12,,,
9.78157E+12,,,
9.78145E+12,,,
1003256325,,,
9.78981E+12,21004,21004,INR
1667151304,,,
303039249X,,,
9.781E+12,5773.07,5773.07,INR
9.78112E+12,6313,6313,INR
3319899562,,,
9.78981E+12,7139,7139,INR
9.78032E+12,16537.7,16537.7,INR
9.78303E+12,4200.8,4200.8,INR
9.78159E+12,,,
9.78153E+12,,,
9.7818E+12,26286.49,26286.49,INR
9.78939E+12,1038.4,519.2,INR
9.78149E+12,1250.8,625.4,INR
1484248589,,,
1654982199,,,
9.78135E+12,,,
1558605762,,,
9.781E+12,5940.12,5940.12,INR
9.78179E+12,2105.11,2105.11,INR
9.78164E+12,2624.32,2624.32,INR
9.78148E+12,,,
9.78303E+12,11764.6,11764.6,INR
9.79837E+12,590,295,INR
1484281209,,,
9.78311E+12,5963.43,5963.43,INR
9.78303E+12,21004,21004,INR
9.79885E+12,,,
9.78164E+12,2624.32,2624.32,INR
9.78303E+12,18526,18526,INR
3319170902,,,
9.78149E+12,4425,4425,INR
9.78026E+12,9757.77,9757.77,INR
9.78014E+12,2882.25,2882.25,INR
9.78303E+12,19352,19352,INR
9.78303E+12,7316,7316,INR
9.78303E+12,7563.8,7563.8,INR
9.78164E+12,,,
9.78043E+12,,,
9811110689,,,
9.78026E+12,,,
9.78014E+12,500.32,247.66,INR
9811644853,,,
9.78145E+12,2655,2655,INR
9.78032E+12,,,
1801779597,,,
9.78013E+12,,,
9.78172E+12,,,
9.78185E+12,5038.6,5038.6,INR
1098121228,,,
9.78939E+12,659.62,329.81,INR
9.78303E+12,5463.4,5463.4,INR
