index,page_count,print_type,avg_rating,rating_count,is_ebook
9.78E+12,856,BOOK,,,TRUE
9.78E+12,198,BOOK,,,TRUE
1788297237,638,BOOK,,,FALSE
9.78E+12,333,BOOK,,,TRUE
9.78E+12,1178,BOOK,,,FALSE
1111972281,960,BOOK,,,FALSE
9.78E+12,434,BOOK,,,FALSE
1118582691,544,BOOK,,,FALSE
1538834235,156,BOOK,,,FALSE
1538834138,158,BOOK,,,FALSE
253016282,0,BOOK,,,FALSE
1547089296,68,BOOK,,,FALSE
9.78E+12,417,BOOK,,,FALSE
1538834197,260,BOOK,,,FALSE
9.78E+12,256,BOOK,4,4,TRUE
9.78E+12,413,BOOK,,,TRUE
9.78E+12,432,BOOK,,,FALSE
9.78E+12,1152,BOOK,,,TRUE
9.78E+12,256,BOOK,,,TRUE
9.78E+12,294,BOOK,,,FALSE
9.78E+12,160,BOOK,,,TRUE
9.78E+12,296,BOOK,,,FALSE
9.78E+12,328,BOOK,,,TRUE
9.78E+12,464,BOOK,5,1,FALSE
9.78E+12,256,BOOK,1,1,TRUE
9.78E+12,377,BOOK,,,TRUE
9.78E+12,505,BOOK,,,FALSE
9.78E+12,208,BOOK,,,TRUE
9.78E+12,608,BOOK,,,TRUE
9.78E+12,256,BOOK,,,TRUE
9.79E+12,312,BOOK,,,TRUE
9.78E+12,336,BOOK,,,TRUE
9.78E+12,2628,BOOK,,,FALSE
9.78E+12,418,BOOK,5,1,FALSE
9.79E+12,353,BOOK,,,TRUE
9.78E+12,336,BOOK,,,TRUE
9.78E+12,320,BOOK,4,11,TRUE
9.78E+12,752,BOOK,,,FALSE
9.78E+12,432,BOOK,,,TRUE
9.78E+12,244,BOOK,,,FALSE
9.78E+12,656,BOOK,,,FALSE
9.78E+12,304,BOOK,,,FALSE
9.78E+12,913,BOOK,,,FALSE
9.78E+12,160,BOOK,,,TRUE
982917481,274,BOOK,,,FALSE
9.79E+12,198,BOOK,,,TRUE
9.79E+12,240,BOOK,,,TRUE
9.78E+12,204,BOOK,,,TRUE
9.78E+12,659,BOOK,,,TRUE
9.78E+12,467,BOOK,5,1,TRUE
9.78E+12,256,BOOK,4.5,2,TRUE
9.78E+12,256,BOOK,3.5,10,TRUE
9.78E+12,224,BOOK,,,TRUE
9.78E+12,298,BOOK,,,TRUE
9.78E+12,578,BOOK,4,1,FALSE
9.78E+12,432,BOOK,,,FALSE
136717136,0,BOOK,,,FALSE
9.78E+12,227,BOOK,,,TRUE
9.78E+12,136,BOOK,,,FALSE
9.78E+12,267,BOOK,,,TRUE
9.78E+12,307,BOOK,,,FALSE
9.78E+12,512,BOOK,,,FALSE
9.78E+12,418,BOOK,,,TRUE
036757098X,426,BOOK,,,FALSE
9.78E+12,802,BOOK,,,FALSE
71491287,650,BOOK,4.5,6,TRUE
9.78E+12,,BOOK,,,TRUE
9.78E+12,368,BOOK,5,1,TRUE
9082809176,432,BOOK,,,FALSE
9.78E+12,505,BOOK,,,TRUE
9.78E+12,272,BOOK,,,TRUE
UOM:39015062820512,284,BOOK,2.5,2,FALSE
9.79E+12,493,BOOK,,,TRUE
9.78E+12,754,BOOK,,,FALSE
9.78E+12,306,BOOK,,,FALSE
1439806012,230,BOOK,3,1,TRUE
9.78E+12,336,BOOK,,,TRUE
9.78E+12,640,BOOK,,,TRUE
9.78E+12,258,BOOK,,,TRUE
1430237015,360,BOOK,,,FALSE
1118031865,336,BOOK,,,TRUE
9.78E+12,320,BOOK,,,TRUE
9.78E+12,62,BOOK,,,TRUE
9.78E+12,313,BOOK,,,TRUE
9.78E+12,574,BOOK,,,FALSE
1623155746,214,BOOK,,,FALSE
9.78E+12,256,BOOK,,,TRUE
1540380033,62,BOOK,,,FALSE
8417963146,148,BOOK,,,FALSE
9.78E+12,0,BOOK,,,FALSE
9.78E+12,480,BOOK,,,TRUE
9.78E+12,640,BOOK,,,TRUE
749497068,256,BOOK,,,FALSE
9.78E+12,592,BOOK,,,TRUE
032106920X,871,BOOK,,,FALSE
9.78E+12,800,BOOK,5,1,TRUE
9.78E+12,801,BOOK,3.5,5,FALSE
9.78E+12,370,BOOK,,,FALSE
9.78E+12,298,BOOK,,,FALSE
9.78E+12,354,BOOK,3,1,FALSE
9.78E+12,624,BOOK,,,TRUE
9.78E+12,532,BOOK,5,1,TRUE
9.79E+12,149,BOOK,1,1,TRUE
9.78E+12,497,BOOK,1,1,TRUE
1484228448,151,BOOK,,,FALSE
9.78E+12,416,BOOK,5,1,TRUE
9.78E+12,336,BOOK,,,TRUE
9.78E+12,228,BOOK,5,1,FALSE
1617294438,384,BOOK,5,2,FALSE
9.78E+12,0,BOOK,4,1,FALSE
9.78E+12,256,BOOK,,,TRUE
9811633568,322,BOOK,,,FALSE
9.78E+12,253,BOOK,,,FALSE
9.78E+12,352,BOOK,,,TRUE
9.78E+12,284,BOOK,,,TRUE
9.78E+12,236,BOOK,,,FALSE
9.78E+12,463,BOOK,,,FALSE
9.78E+12,330,BOOK,5,1,TRUE
9.78E+12,425,BOOK,,,FALSE
9.78E+12,620,BOOK,,,TRUE
9.78E+12,191,BOOK,,,TRUE
9.79E+12,270,BOOK,,,TRUE
9.78E+12,386,BOOK,,,TRUE
9.78E+12,518,BOOK,5,1,TRUE
1492039837,400,BOOK,,,FALSE
9.78E+12,365,BOOK,,,FALSE
9.78E+12,502,BOOK,,,FALSE
1617293709,336,BOOK,,,FALSE
9.78E+12,310,BOOK,4,1,TRUE
9.78E+12,328,BOOK,,,TRUE
9.78E+12,484,BOOK,,,TRUE
9.78E+12,271,BOOK,,,TRUE
9.79E+12,207,BOOK,,,TRUE
9.78E+12,776,BOOK,,,TRUE
9.78E+12,262,BOOK,,,FALSE
9.79E+12,245,BOOK,,,TRUE
9.78E+12,60,BOOK,,,FALSE
1484249755,285,BOOK,,,FALSE
9.78E+12,316,BOOK,,,TRUE
1491914254,200,BOOK,,,FALSE
9.79E+12,181,BOOK,,,TRUE
9.78E+12,320,BOOK,1,1,TRUE
148423684X,277,BOOK,,,FALSE
9.78E+12,306,BOOK,,,TRUE
9.78E+12,316,BOOK,,,TRUE
9811358494,245,BOOK,,,FALSE
9.78E+12,143,BOOK,,,FALSE
9.78E+12,344,BOOK,,,TRUE
9.78E+12,468,BOOK,,,TRUE
161729554X,360,BOOK,,,FALSE
9.78E+12,360,BOOK,,,TRUE
1544361378,168,BOOK,5,1,FALSE
9.78E+12,208,BOOK,,,FALSE
9.78E+12,600,BOOK,,,TRUE
9.78E+12,380,BOOK,,,TRUE
9.78E+12,391,BOOK,5,1,FALSE
9.78E+12,624,BOOK,,,FALSE
9.78E+12,442,BOOK,4,1,TRUE
9.78E+12,383,BOOK,,,TRUE
3030367207,760,BOOK,,,FALSE
9.78E+12,771,BOOK,,,TRUE
9.78E+12,300,BOOK,,,TRUE
9.78E+12,318,BOOK,5,1,TRUE
9.78E+12,261,BOOK,5,1,FALSE
9.78E+12,161,BOOK,5,1,TRUE
1484265122,295,BOOK,,,FALSE
9.78E+12,366,BOOK,,,TRUE
149208218X,450,BOOK,,,FALSE
9.78E+12,339,BOOK,,,FALSE
9.79E+12,440,BOOK,,,TRUE
1492045357,300,BOOK,,,FALSE
9.78E+12,384,BOOK,,,TRUE
9.78E+12,252,BOOK,,,TRUE
9.79E+12,280,BOOK,,,TRUE
9.78E+12,330,BOOK,,,TRUE
9.78E+12,298,BOOK,,,FALSE
9.78E+12,235,BOOK,,,FALSE
9.78E+12,478,BOOK,,,FALSE
9.78E+12,218,BOOK,,,TRUE
9.78E+12,240,BOOK,,,FALSE
9.78E+12,216,BOOK,,,FALSE
9.78E+12,270,BOOK,,,TRUE
9.79E+12,208,BOOK,,,TRUE
9.78E+12,384,BOOK,,,TRUE
9.78E+12,218,BOOK,,,TRUE
9.78E+12,536,BOOK,5,1,TRUE
9.78E+12,474,BOOK,,,TRUE
3319730037,191,BOOK,,,FALSE
9.78E+12,163,BOOK,,,TRUE
9.78E+12,381,BOOK,,,TRUE
9.79E+12,300,BOOK,,,TRUE
9.78E+12,412,BOOK,,,FALSE
9.79E+12,319,BOOK,,,TRUE
9.78E+12,348,BOOK,,,TRUE
9.78E+12,432,BOOK,,,TRUE
9.78E+12,300,BOOK,,,FALSE
9.78E+12,306,BOOK,,,TRUE
9.78E+12,209,BOOK,,,TRUE
1617296171,350,BOOK,,,FALSE
9.79E+12,394,BOOK,,,TRUE
9.78E+12,256,BOOK,,,TRUE
9.78E+12,437,BOOK,5,1,TRUE
9.78E+12,280,BOOK,,,TRUE
9.78E+12,342,BOOK,,,TRUE
9.78E+12,360,BOOK,,,TRUE
9.78E+12,177,BOOK,,,FALSE
9.78E+12,480,BOOK,,,TRUE
9.78E+12,851,BOOK,,,FALSE
9.78E+12,355,BOOK,,,TRUE
9.78E+12,313,BOOK,,,TRUE
9.78E+12,454,BOOK,5,2,TRUE
9.78E+12,548,BOOK,,,TRUE
9.78E+12,359,BOOK,,,TRUE
9.78E+12,392,BOOK,,,TRUE
9.78E+12,265,BOOK,,,TRUE
1617295329,325,BOOK,,,FALSE
9.78E+12,206,BOOK,,,TRUE
9.78E+12,320,BOOK,,,TRUE
9.78E+12,306,BOOK,,,FALSE
9.78E+12,304,BOOK,,,TRUE
9.78E+12,351,BOOK,,,TRUE
9.78E+12,292,BOOK,,,TRUE
9.78E+12,458,BOOK,,,TRUE
521383013,256,BOOK,,,FALSE
9.78E+12,743,BOOK,,,FALSE
3030326055,218,BOOK,,,FALSE
9.78E+12,288,BOOK,,,TRUE
9.78E+12,204,BOOK,,,TRUE
9.78E+12,192,BOOK,5,1,FALSE
9.78E+12,195,BOOK,,,FALSE
9.78E+12,436,BOOK,,,FALSE
9.78E+12,321,BOOK,,,TRUE
1721230882,96,BOOK,,,FALSE
1731175620,209,BOOK,,,FALSE
9.78E+12,454,BOOK,,,FALSE
9.78E+12,560,BOOK,,,TRUE
9.78E+12,197,BOOK,,,TRUE
1617296481,450,BOOK,,,FALSE
9.78E+12,824,BOOK,,,TRUE
9.79E+12,292,BOOK,5,1,TRUE
9.78E+12,404,BOOK,,,TRUE
9.78E+12,344,BOOK,,,TRUE
9.78E+12,293,BOOK,,,TRUE
9.78E+12,163,BOOK,3,1,FALSE
103224285X,338,BOOK,,,FALSE
9.78E+12,258,BOOK,,,TRUE
1729851231,384,BOOK,,,FALSE
9.78E+12,699,BOOK,5,1,FALSE
1984050621,104,BOOK,,,FALSE
9.78E+12,322,BOOK,,,TRUE
9.78E+12,340,BOOK,,,FALSE
9.78E+12,395,BOOK,,,TRUE
9.78E+12,459,BOOK,,,FALSE
9.78E+12,297,BOOK,,,TRUE
9811682321,0,BOOK,,,FALSE
3319992228,206,BOOK,,,FALSE
9.78E+12,563,BOOK,,,FALSE
981166045X,330,BOOK,,,FALSE
9.79E+12,324,BOOK,,,TRUE
1667170023,198,BOOK,,,FALSE
1491989386,366,BOOK,5,1,FALSE
9.78E+12,296,BOOK,,,TRUE
9.78E+12,290,BOOK,,,FALSE
9.79E+12,98,BOOK,,,TRUE
9.78E+12,368,BOOK,,,TRUE
148427914X,713,BOOK,,,FALSE
9.78E+12,512,BOOK,,,TRUE
9.78E+12,732,BOOK,,,TRUE
9.78E+12,372,BOOK,,,TRUE
1788474228,474,BOOK,,,FALSE
9.78E+12,432,BOOK,,,TRUE
149205559X,225,BOOK,,,FALSE
9.78E+12,181,BOOK,,,TRUE
3031004604,141,BOOK,,,FALSE
9.78E+12,267,BOOK,,,FALSE
9.78E+12,470,BOOK,,,FALSE
9.78E+12,225,BOOK,3,1,FALSE
9.78E+12,548,BOOK,,,FALSE
149196460X,300,BOOK,,,FALSE
1484266153,308,BOOK,,,FALSE
9.78E+12,464,BOOK,,,TRUE
9.78E+12,338,BOOK,,,TRUE
9.78E+12,140,BOOK,,,TRUE
1484263723,368,BOOK,,,FALSE
9.78E+12,470,BOOK,,,TRUE
9.78E+12,472,BOOK,,,TRUE
9.78E+12,709,BOOK,,,FALSE
9.78E+12,621,BOOK,,,TRUE
9.78E+12,285,BOOK,,,TRUE
9.78E+12,528,BOOK,,,TRUE
9.79E+12,254,BOOK,,,TRUE
9.78E+12,382,BOOK,,,TRUE
9.78E+12,288,BOOK,,,TRUE
1684660823,234,BOOK,,,FALSE
1484232062,530,BOOK,,,FALSE
9.78E+12,284,BOOK,,,TRUE
9.78E+12,456,BOOK,,,TRUE
3030497232,430,BOOK,,,FALSE
9.78E+12,296,BOOK,,,TRUE
9.78E+12,439,BOOK,,,TRUE
9.78E+12,290,BOOK,,,FALSE
9.80E+12,168,BOOK,,,FALSE
9.78E+12,182,BOOK,,,TRUE
9.78E+12,156,BOOK,,,TRUE
9.78E+12,256,BOOK,4.5,2,TRUE
1790764165,674,BOOK,,,FALSE
9.78E+12,472,BOOK,,,TRUE
9.78E+12,512,BOOK,,,TRUE
9.78E+12,822,BOOK,5,1,TRUE
9.78E+12,228,BOOK,,,FALSE
1548585793,98,BOOK,,,FALSE
1803241330,288,BOOK,,,FALSE
9.78E+12,260,BOOK,,,TRUE
3030410706,548,BOOK,5,1,FALSE
